step,avg_reward,success_rate,epsilon
2000,249.98771481951655,0.89,0.00998645168764533
4000,253.92745785774986,0.9,0.00998645168764533
6000,274.1049728627359,0.91,0.00998645168764533
8000,272.9953506204672,0.92,0.00998645168764533
10000,283.0664995761988,0.94,0.00998645168764533
12000,279.03831239656074,0.94,0.00998645168764533
14000,280.6087126947401,0.94,0.00998645168764533
16000,291.87230609010237,0.97,0.00998645168764533
18000,292.0159664261913,0.97,0.00998645168764533
20000,292.88237824586037,0.98,0.00998645168764533
22000,262.63970777974936,0.91,0.00998645168764533
24000,267.0464666384589,0.92,0.00998645168764533
26000,262.74540536060465,0.91,0.00998645168764533
28000,263.85004288904787,0.91,0.00998645168764533
30000,262.7684149058327,0.91,0.00998645168764533
32000,266.3703915506102,0.92,0.00998645168764533
34000,265.28120879664783,0.92,0.00998645168764533
36000,280.1572382078776,0.95,0.00998645168764533
38000,280.2141016589334,0.95,0.00998645168764533
40000,278.30351493493055,0.94,0.00998645168764533
42000,279.5830969409588,0.93,0.00998645168764533
44000,286.46033507459975,0.95,0.00998645168764533
46000,286.2989903208694,0.95,0.00998645168764533
48000,289.16354196840786,0.97,0.00998645168764533
50000,289.3489772397468,0.97,0.00998645168764533
